-- more modifier links: https://developer.valvesoftware.com/wiki/Dota_2_Workshop_Tools/Scripting/Built-In_Modifier_Names

"modifier_life_stealer_infest"	"正在感染一个宿主"
"modifier_vengefulspirit_command_aura_effect"	"复仇光环"
"modifier_windrunner_windrun"	"风行"
"modifier_windrunner_windrun_slow"	"风行减速"
"modifier_windrunner_focusfire"	"集中火力"
"modifier_riki_smoke_screen"	"烟幕"
"modifier_enigma_malefice"	"憎恶"
"modifier_demonic_conversion"	"恶魔转化"
"modifier_enigma_black_hole_pull"	"黑洞"
"modifier_tinker_laser_blind"	"致盲激光"
"modifier_tinker_rearm"	"再装填"
"modifier_sniper_shrapnel_slow"	"霰弹减速"
"modifier_sniper_assassinate"	"暗杀"
"modifier_necrolyte_sadist_counter"	"施虐之心"
"modifier_necrolyte_heartstopper_aura_effect"	"竭心光环"
"modifier_beastmaster_inner_beast"	"野性之心"
"modifier_beastmaster_primal_roar_slow"	"原始咆哮减速"
"modifier_beastmaster_hawk_invisibility"	"隐身"
"modifier_beastmaster_boar_poison_effect"	"豪猪之毒"
"modifier_queenofpain_shadow_strike"	"暗影突袭"
"modifier_lion_impale"	"穿刺"
"modifier_lion_voodoo"	"巫术"
"modifier_lion_mana_drain"	"法力吸取"
"modifier_slardar_sprint"	"守卫冲刺"
"modifier_slardar_amplify_damage"	"侵蚀雾霭"
"modifier_slithereen_crush"	"鱼人碎击"
"modifier_venomancer_venomous_gale"	"瘴气"
"modifier_venomancer_poison_sting"	"毒刺"
"modifier_venomancer_poison_sting_fake"	"毒刺"
"modifier_venomancer_poison_nova"	"剧毒新星"
"modifier_faceless_void_time_walk_slow"	"时间漫游减速"
"modifier_faceless_void_timelock_freeze"	"时间锁定"
"modifier_faceless_void_chronosphere_freeze"	"时间结界"
"modifier_pugna_decrepify"	"衰老"
"modifier_pugna_nether_ward_aura"	"幽冥守卫"
"modifier_pugna_life_drain"	"生命汲取"
"modifier_templar_assassin_refraction_damage"	"折光 - 攻击力"
"modifier_templar_assassin_refraction_absorb"	"折光 - 伤害吸收"
"modifier_templar_assassin_meld"	"隐匿"
"modifier_templar_assassin_meld_armor"	"隐匿护甲削弱"
"modifier_templar_assassin_trap_slow"	"陷阱"
"modifier_viper_poison_attack_slow"	"毒性攻击减速"
"modifier_viper_corrosive_skin_slow"	"腐蚀皮肤减速"
"modifier_viper_viper_strike_slow"	"蝮蛇突袭减速"
"modifier_dragon_knight_corrosive_breath"	"腐蚀之息"
"modifier_dragon_knight_corrosive_breath_dot"	"腐蚀吐息"
"modifier_dragon_knight_splash_attack"	"分裂攻击"
"modifier_dragon_knight_frost_breath"	"霜冻气息"
"modifier_dragon_knight_frost_breath_slow"	"霜冻气息减速"
"modifier_rattletrap_battery_assault"	"弹幕冲击"
"modifier_rattletrap_cog_push"	"齿轮冲击"
"modifier_rattletrap_hookshot"	"发射钩爪"
"modifier_dazzle_poison_touch"	"剧毒之触"
"modifier_dazzle_shallow_grave"	"薄葬"
"modifier_dazzle_weave_armor"	"编织护甲"
"modifier_leshrac_pulse_nova"	"脉冲新星"
"modifier_leshrac_diabolic_edict"	"恶魔敕令"
"modifier_voodoo_restoration_heal"	"巫毒恢复术"
"modifier_maledict"	"诅咒"
"modifier_life_stealer_rage"	"狂暴"
"modifier_life_stealer_open_wounds"	"撕裂伤口"
"modifier_dark_seer_vacuum"	"真空"
"modifier_dark_seer_ion_shell"	"离子外壳"
"modifier_dark_seer_surge"	"奔腾"
"modifier_enchantress_untouchable_slow"	"不可侵犯"
"modifier_enchantress_enchant"	"魅惑"
"modifier_enchantress_enchant_slow"	"魅惑减速"
"modifier_enchantress_natures_attendants"	"自然之助"
"modifier_huskar_inner_vitality"	"活血术"
"modifier_huskar_burning_spear_debuff"	"沸血之矛"
"modifier_huskar_berserkers_blood"	"狂战士之血"
"modifier_huskar_life_break_slow"	"牺牲"
"modifier_clinkz_strafe"	"扫射"
"modifier_clinkz_wind_walk"	"骨隐步"
"modifier_clinkz_death_pact"	"死亡契约"
"modifier_broodmother_spawn_spiderlings"	"孵化蜘蛛"
"modifier_broodmother_spin_web"	"织网"
"modifier_broodmother_incapacitating_bite_orb"	"麻痹之咬"
"modifier_broodmother_insatiable_hunger"	"极度饥渴"
"modifier_broodmother_spawn_spiderite_debuff"	"蜘蛛寄生"
"modifier_broodmother_poison_sting_debuff"	"毒刺"
"modifier_omniknight_repel"	"驱逐"
"modifier_omniknight_degen_aura_effect"	"退化光环"
"modifier_omninight_guardian_angel"	"守护天使"
"modifier_night_stalker_void"	"永夜虚无"
"modifier_night_stalker_crippling_fear"	"伤残恐惧"
"modifier_bounty_hunter_jinada_slow"	"忍术"
"modifier_bounty_hunter_wind_walk"	"暗影步"
"modifier_bounty_hunter_track"	"追踪术"
"modifier_bounty_hunter_track_effect"	"追踪术"
"modifier_weaver_swarm_debuff"	"虫群"
"modifier_weaver_shukuchi"	"缩地"
"modifier_jakiro_ice_path_stun"	"冰封路径"
"modifier_jakiro_liquid_fire_burn"	"液态火"
"modifier_jakiro_dual_breath_slow"	"冰火交加"
"modifier_jakiro_dual_breath_burn"	"冰火交加"
"modifier_batrider_sticky_napalm"	"粘性燃油"
"modifier_batrider_firefly"	"火焰飞行"
"modifier_batrider_flaming_lasso"	"燃烧枷锁"
"modifier_chen_penitence"	"赎罪"
"modifier_chen_holy_persuasion"	"神圣劝化"
"modifier_chen_test_of_faith_teleport"	"听命于陈"
"modifier_spectre_spectral_dagger_path"	"幽鬼之径"
"modifier_spectre_spectral_dagger"	"幽鬼之径制造者"
"modifier_spectre_spectral_dagger_in_path"	"幽鬼之刃路径"
"modifier_spectre_desolate"	"荒芜"
"modifier_doom_bringer_devour"	"吞噬"
"modifier_doom_bringer_scorched_earth_effect"	"焦土"
"modifier_doom_bringer_doom"	"末日"
"modifier_cold_feet"	"寒霜之足"
"modifier_ancientapparition_coldfeet_freeze"	"被冻结"
"modifier_ice_vortex"	"冰霜漩涡"
"modifier_chilling_touch"	"极寒之触"
"modifier_ice_blast"	"受到霜寒诅咒效果影响"
"modifier_ursa_earthshock"	"震撼大地"
"modifier_ursa_overpower"	"超强力量"
"modifier_ursa_fury_swipes_damage_increase"	"怒意狂击"
"modifier_ursa_enrage"	"激怒"
"modifier_gyrocopter_rocket_barrage"	"火箭弹幕"
"modifier_gyrocopter_flak_cannon"	"高射火炮"
"modifier_gyrocopter_call_down_slow"	"召唤飞弹"
"modifier_spirit_breaker_charge_of_darkness"	"暗影冲刺"
"modifier_spirit_breaker_charge_of_darkness_debuff"	"暗影冲刺"
"modifier_spirit_breaker_empowering_haste"	"神行太保"
"modifier_spirit_breaker_nether_strike"	"幽冥一击"
"modifier_alchemist_acid_spray"	"酸性喷雾"
"modifier_alchemist_chemical_rage"	"化学狂暴"
"modifier_invoker_quas_instance"	"冰"
"modifier_invoker_wex_instance"	"雷"
"modifier_invoker_exort_instance"	"火"
"modifier_invoker_cold_snap"	"急速冷却"
"modifier_invoker_ghost_walk_self"	"幽灵漫步"
"modifier_invoker_ghost_walk_enemy"	"幽灵漫步"
"modifier_invoker_tornado"	"强袭飓风"
"modifier_invoker_alacrity"	"灵动迅捷"
"modifier_invoker_chaos_meteor_burn"	"混沌陨石烧灼效果"
"modifier_invoker_ice_wall_slow_debuff"	"寒冰之墙"
"modifier_invoker_deafening_blast_knockback"	"超震声波击退效果"
"modifier_invoker_deafening_blast_disarm"	"超震声波缴械效果"
"modifier_forged_spirit_melting_strike_debuff"	"灼烧攻击"
"modifier_silencer_curse_of_the_silent"	"奥术诅咒"
"modifier_item_armlet_unholy_strength"	"邪恶之力"
"modifier_item_assault_negative_armor"	"强袭胸甲"
"modifier_item_assault_positive"	"强袭胸甲"
"modifier_item_assault_positive_buildings"	"强袭胸甲"
"modifier_item_assault_negative_buildings_aura"	"强袭胸甲"
"modifier_item_blade_mail_reflect"	"刃甲反射"
"modifier_boots_of_travel_incoming"	"远行鞋传送"
"modifier_item_phase_boots_active"	"相位鞋"
"modifier_item_buckler_effect"	"玄冥盾牌护甲提升"
"modifier_item_diffusal_blade_slow"	"净魂之刃净化"
"modifier_bottle_regeneration"	"魔瓶（恢复）"
"modifier_item_ethereal_blade_ethereal"	"虚化冲击"
"modifier_item_ethereal_blade_slow"	"虚灵之刃减速"
"modifier_item_forcestaff_active"	"原力"
"modifier_ghost_state"	"虚灵形态"
"modifier_item_headdress_aura"	"恢复头巾光环"
"modifier_item_invisibility_edge_windwalk"	"暗影步"
"modifier_item_mask_of_madness_berserk"	"狂热"
"modifier_item_mekansm_aura"	"梅肯斯姆光环"
"modifier_item_mekansm_spell"	"梅肯斯姆回复"
"modifier_item_mjollnir_static"	"雷神之锤静电冲击"
"modifier_necronomicon_archer_aura"	"死灵射手光环"
"modifier_item_orb_of_venom_slow"	"淬毒之珠"
"modifier_orchid_malevolence_debuff"	"灵魂燃烧"
"modifier_item_pipe_barrier"	"抗魔护盾"
"modifier_item_radiance_debuff"	"灼烧伤害"
"modifier_item_ring_of_basilius_aura_bonus"	"王者之戒光环"
"modifier_sange_buff"	"次级残废"
"modifier_sange_and_yasha_buff"	"高级残废"
"modifier_item_satanic_unholy"	"不洁狂热"
"modifier_eul_cyclone"	"旋风"
"modifier_sheepstick_debuff"	"被变猪"
"modifier_item_shivas_guard_aura"	"霜冷光环"
"modifier_item_shivas_guard_blast"	"极寒冲击"
"modifier_item_skadi_slow"	"斯嘉蒂之眼寒冰攻击"
"modifier_item_soul_ring_buff"	"牺牲"
"modifier_item_urn_heal"	"灵魂释放"
"modifier_item_urn_damage"	"灵魂释放"
"modifier_item_ancient_janggo_aura"	"耐久光环"
"modifier_item_ancient_janggo_aura_effect"	"耐久光环"
"modifier_item_ancient_janggo_active"	"坚韧"
"modifier_item_medallion_of_courage_armor_reduction"	"勇气勋章"
"modifier_smoke_of_deceit"	"诡计之雾"
"modifier_item_veil_of_discord_debuff"	"魔法虚弱"
"modifier_black_king_bar_immune"	"黑皇杖"
"modifier_desolator_buff"	"黯灭"
"modifier_roshan_spell_block"	"法术抵挡"
"modifier_roshan_bash"	"重击"
"modifier_roshan_slam"	"震击"
"modifier_roshan_devotion"	"奉献"
"modifier_magic_immune"	"技能免疫"
"modifier_phased"	"相位状态"
"modifier_truesight"	"真实视域"
"modifier_stunned"	"眩晕"
"modifier_invisible"	"隐身"
"modifier_silence"	"被沉默"
"modifier_invulnerable"	"无敌"
"modifier_disarmed"	"无法攻击"
"modifier_attack_immune"	"对攻击免疫"
"modifier_rooted"	"被缠绕"
"modifier_illusion"	"幻象"
"modifier_rune_doubledamage"	"双倍伤害"
"modifier_rune_regen"	"恢复神符"
"modifier_rune_haste"	"极速神符"
"modifier_rune_invis"	"隐身"
"modifier_fountain_aura"	"泉水范围中"
"modifier_clarity_potion"	"净化药水"
"modifier_flask_healing"	"治疗药膏"
"modifier_tango_heal"	"树之祭祀"
"modifier_item_dustofappearance"	"显隐之尘"
"modifier_tower_truesight_aura"	"真实视域"
"modifier_lina_fiery_soul"	"炽魂"
"modifier_warlock_fatal_bonds"	"致命连接"
"modifier_warlock_shadow_word"	"暗言术"
"modifier_warlock_upheaval"	"剧变"
"modifier_warlock_golem_permanent_immolation_debuff"	"献祭"
"modifier_backdoor_protection_active"	"偷塔保护"
"modifier_kobold_taskmaster_speed_aura_bonus"	"速度光环"
"modifier_centaur_khan_endurance_aura_bonus"	"迅捷光环"
"modifier_gnoll_assassin_envenomed_weapon_poison"	"淬毒武器"
"modifier_ghost_frost_attack_slow"	"寒霜攻击"
"modifier_polar_furbolg_ursa_warrior_thunder_clap"	"雷霆一击"
"modifier_ogre_magi_frost_armor"	"寒冰盔甲"
"modifier_ogre_magi_frost_armor_slow"	"寒冰盔甲减速"
"modifier_dark_troll_warlord_ensnare"	"诱捕"
"modifier_alpha_wolf_command_aura_bonus"	"头狼光环"
"modifier_tornado_tempest_debuff"	"风暴"
"modifier_enraged_wildkin_toughness_aura_bonus"	"坚韧光环"
"modifier_satyr_trickster_purge"	"净化"
"modifier_satyr_hellcaller_unholy_aura_bonus"	"邪恶光环"
"modifier_blue_dragonspawn_overseer_devotion_aura_bonus"	"守卫光环"
"modifier_big_thunder_lizard_slam"	"猛击"
"modifier_big_thunder_lizard_frenzy"	"狂热"
"modifier_item_buff_ward"	"侦查守卫"
"modifier_item_ward_true_sight"	"岗哨守卫"
"modifier_phantom_assassin_blur_active"	"模糊"
"modifier_axe_battle_hunger_self"	"战斗饥渴"
"modifier_axe_culling_blade_boost"	"淘汰之刃"
"modifier_obsidian_destroyer_essence_aura_effect"	"精气光环"
"modifier_obsidian_destroyer_astral_imprisonment_buff"	"智力窃取"
"modifier_obsidian_destroyer_astral_imprisonment_debuff"	"智力窃取"
"modifier_obsidian_destroyer_astral_imprisonment_prison"	"星体禁锢"
"modifier_item_ring_of_aquila_aura_bonus"	"天鹰之戒光环"
"modifier_heavens_halberd_buff"	"残废"
"modifier_heavens_halberd_debuff"	"缴械"
"modifier_item_tranquil_boots_heal"	"静谧之鞋"
"modifier_forest_troll_high_priest_mana_aura_bonus"	"魔法光环"
"modifier_dark_seer_wall_of_replica"	"复制之墙"
"modifier_spirit_breaker_greater_bash_speed"	"巨力重击移动速度加成"
"modifier_silencer_global_silence"	"全领域静默"
"modifier_lycan_howl"	"嗥叫"
"modifier_lycan_feral_impulse"	"野性驱使"
"modifier_lone_druid_rabid"	"狂猛"
"modifier_lone_druid_true_form_battle_cry"	"战斗嚎叫"
"modifier_darkseer_wallofreplica_illusion"	"复制之墙幻象"
"modifier_knockback"	"巨力重击"
"modifier_silencer_last_word_aura"	"遗言窃取"
"modifier_lycan_summon_wolves_invisibility"	"隐身"
"modifier_lycan_shapeshift"	"变身"
"modifier_lycan_shapeshift_speed"	"变身"
"modifier_lone_druid_spirit_bear_entangle_effect"	"缠绕之爪"
"modifier_brewmaster_thunder_clap"	"雷霆一击"
"modifier_brewmaster_drunken_haze"	"醉酒云雾"
"modifier_brewmaster_drunken_brawler"	"醉拳"
"modifier_brewmaster_earth_pulverize"	"粉碎击"
"modifier_brewmaster_earth_spell_immunity"	"技能免疫"
"modifier_brewmaster_storm_wind_walk"	"疾风步"
"modifier_brewmaster_fire_permanent_immolation"	"永久献祭"
"modifier_shadow_demon_disruption"	"崩裂禁锢"
"modifier_shadow_demon_soul_catcher"	"灵魂猎手"
"modifier_shadow_demon_shadow_poison"	"暗影剧毒"
"modifier_shadow_demon_purge_slow"	"被净化"
"modifier_chaos_knight_reality_rift_bonus_damage"	"实相裂隙"
"modifier_rod_of_atos_debuff"	"阿托斯之棍"
"modifier_treant_natures_guise"	"自然蔽护"
"modifier_treant_leech_seed"	"寄生种子"
"modifier_treant_living_armor"	"活体护甲"
"modifier_treant_overgrowth"	"疯狂生长"
"modifier_ogre_magi_bloodlust"	"嗜血术"
"modifier_ogre_magi_ignite"	"引燃"
"modifier_meepo_earthbind"	"地之束缚"
"modifier_meepo_geostrike_debuff"	"地之突袭"
"modifier_morphling_replicate_timer"	"复制体倒计时"
"modifier_lycan_howl_aura"	"嗥叫光环"
"modifier_luna_lunar_blessing_aura"	"月之祝福"
"modifier_night_stalker_darkness"	"黑暗时间"
"modifier_brewmaster_primal_split_duration"	"元素分离"
"modifier_phantom_lancer_juxtapose_illusion"	"幻影"
"modifier_undying_decay_buff"	"腐朽"
"modifier_undying_decay_debuff"	"腐朽"
"modifier_undying_flesh_golem"	"血肉傀儡的瘟疫光环"
"modifier_undying_flesh_golem_plague_aura"	"血肉傀儡的瘟疫光环"
"modifier_rubick_telekinesis"	"隔空取物"
"modifier_rubick_fade_bolt_debuff"	"弱化能流"
"modifier_rubick_null_field_effect"	"失效力场"
"modifier_rubick_spell_steal"	"技能窃取"
"modifier_disruptor_thunder_strike"	"雷霆之击"
"modifier_disruptor_static_storm"	"静态风暴"
"modifier_nyx_assassin_impale"	"穿刺"
"modifier_nyx_assassin_spiked_carapace"	"尖刺外壳"
"modifier_nyx_assassin_vendetta"	"复仇"
"DOTA_DropRateModifier_Bonus"	"当前速率：<font color='#FFFFFF'>%s1</font>"
"modifier_naga_siren_ensnare"	"诱捕"
"modifier_naga_siren_rip_tide"	"激流"
"modifier_naga_siren_song_of_the_siren"	"海妖之歌"
"modifier_keeper_of_the_light_mana_leak"	"法力流失"
"modifier_keeper_of_the_light_spirit_form_illuminate"	"正在积聚冲击波"
"modifier_keeper_of_the_light_spirit_form"	"灵魂形态"
"modifier_keeper_of_the_light_recall"	"召回"
"modifier_keeper_of_the_light_blinding_light"	"致盲之光"
"modifier_visage_grave_chill_buff"	"黄泉颤抖"
"modifier_visage_grave_chill_debuff"	"黄泉颤抖"
"modifier_visage_gravekeepers_cloak"	"陵卫斗篷"
"modifier_visage_summon_familiars_damage_charge"	"佣兽攻击力"
"modifier_visage_summon_familiars_stone_form_buff"	"石像形态"
"modifier_phantom_assassin_phantom_strike"	"幻影突袭"
"modifier_wisp_tether"	"羁绊"
"modifier_wisp_tether_haste"	"羁绊"
"modifier_wisp_overcharge"	"过载"
"modifier_wisp_spirits"	"幽魂"
"modifier_wisp_relocate_return"	"返回"
"modifier_death_prophet_exorcism"	"驱使恶灵"
"modifier_luna_eclipse"	"月蚀"
"modifier_brewmaster_storm_cyclone"	"龙卷风"
"modifier_slark_pounce_leash"	"被束缚"
"modifier_slark_essence_shift"	"能量转移"
"modifier_slark_essence_shift_debuff_counter"	"能量转移"
"modifier_slark_shadow_dance"	"暗影之舞"
"modifier_undying_tombstone_zombie_deathstrike_slow_counter"	"死亡渴望减速效果"
"modifier_undying_tombstone_zombie_deathlust"	"死亡渴望狂暴"
"modifier_kunkka_ghost_ship_damage_absorb"	"上将朗姆酒"
"modifier_naga_siren_song_of_the_siren_aura"	"海妖之歌"
"modifier_visage_soul_assumption"	"计入灵魂"
"ability_medusa_split_shot_damage_modifier_tooltip"	"%攻击力百分比："
"modifier_medusa_mana_shield"	"魔法护盾"
"modifier_medusa_stone_gaze"	"石化凝视"
"modifier_troll_warlord_whirling_axes_slow"	"旋风飞斧减速"
"modifier_troll_warlord_fervor"	"热血战魂"
"modifier_troll_warlord_battle_trance"	"战斗专注"
"modifier_magnataur_empower"	"授予力量"
"modifier_magnataur_skewer_slow"	"受到巨角冲撞作用"
"modifier_item_shadow_amulet_fade"	"暗影护符"
"modifier_drow_ranger_trueshot_aura"	"精准光环"
"modifier_silencer_last_word"	"最后遗言"
"modifier_silencer_last_word_disarm"	"被减速"
"modifier_silencer_glaives_of_wisdom"	"智慧之刃"
"modifier_centaur_stampede"	"奔袭冲撞"
"modifier_item_candy_drop"	"糖果"
"modifier_item_halloween_candy_eaten"	"已食用小贪魔糖果"
"modifier_roshan_halloween_fed"	"Roshan吃饱了！"
"modifier_halloween_roshan_begging"	"给Roshan糖果！"
"modifier_roshan_halloween_angry_buff"	"Roshan的愤怒"
"modifier_roshan_halloween_candy_buff"	"Roshan的糖果"
"modifier_roshan_halloween_shell"	"护盾"
"modifier_halloween_truce"	"休战"
"modifier_candy_bucket"	"已收集到的糖果"
"modifier_slark_shadow_dance_passive_regen"	"暗影之舞生命回复"
"modifier_item_vladmir_aura"	"弗拉迪米尔光环"
"modifier_medusa_stone_gaze_slow"	"石化凝视"
"modifier_shredder_whirling_death_debuff"	"死亡旋风"
"modifier_shredder_reactive_armor"	"活性护甲"
"modifier_shredder_chakram_debuff"	"锯齿飞轮"
"modifier_shredder_chakram_disarm"	"锯齿飞轮的缴械状态"
"modifier_doom_bringer_scorched_earth_effect_aura"	"焦土作用下"
"modifier_centaur_stampede_slow"	"奔袭冲撞"
"modifier_healing_campfire_heal"	"营火暖身"
"modifier_healing_campfire_aura"	"营火暖身"
"modifier_greevil_stats"	"精华加成"
"modifier_greevil_decrepify"	"衰老"
"modifier_greevil_maledict"	"诅咒"
"modifier_greevil_shadow_strike"	"暗影突袭"
"modifier_greevil_poison_nova"	"剧毒新星"
"modifier_greevil_ice_wall_slow_debuff"	"寒冰之墙"
"modifier_greevil_fatal_bonds"	"致命连接"
"modifier_greevil_blade_fury"	"剑刃风暴"
"modifier_greevil_phantom_strike"	"幻影突袭"
"modifier_greevil_time_lock_freeze"	"时间锁定"
"modifier_greevil_leech_seed"	"寄生种子"
"modifier_greevil_natures_attendants"	"自然之助"
"modifier_greevil_bloodlust"	"嗜血术"
"modifier_greevil_flesh_golem"	"血肉傀儡"
"modifier_greevil_flesh_golem_plague_aura"	"血肉傀儡瘟疫"
"modifier_greevil_meat_hook"	"肉钩"
"modifier_greevil_rot"	"腐烂"
"modifier_greevil_black_hole_pull"	"受到牵引"
"modifier_ice_slide"	"在冰上滑行"
"modifier_winter_healing"	"回复生命和魔法。"
"modifier_greevil_miniboss_black_nightmare"	"贪魔噩梦"
"modifier_greevil_miniboss_blue_cold_feet"	"寒霜贪魔之足"
"modifier_greevil_miniboss_blue_coldfeet_freeze"	"被冻结"
"modifier_greevil_miniboss_blue_ice_vortex"	"寒冰贪魔漩涡"
"modifier_greevil_miniboss_red_earthshock"	"贪魔震撼"
"modifier_greevil_miniboss_red_overpower"	"贪魔力量"
"modifier_greevil_miniboss_yellow_ion_shell"	"贪魔外壳"
"modifier_greevil_miniboss_yellow_surge"	"贪魔奔腾"
"modifier_greevil_miniboss_white_degen_aura_effect"	"贪魔退化光环"
"modifier_greevil_miniboss_purple_venomous_gale"	"贪魔瘴气"
"modifier_greevil_miniboss_green_living_armor"	"贪魔活体护甲"
"modifier_greevil_miniboss_green_overgrowth"	"贪魔疯狂生长"
"modifier_tusk_frozen_sigil"	"冰封魔印"
"modifier_tusk_frozen_sigil_aura"	"冰封魔印"
"modifier_tusk_walrus_punch"	"海象神拳"
"modifier_tusk_walrus_punch_slow"	"被海象神拳击中"
"modifier_bristleback_viscous_nasal_goo"	"粘稠鼻液"
"modifier_bristleback_warpath"	"战意"
"modifier_troll_warlord_whirling_axes_blind"	"旋风飞斧的致盲效果"
"modifier_abaddon_borrowed_time"	"回光返照"
"modifier_abaddon_aphotic_shield"	"无光之盾"
"modifier_abaddon_frostmourne_debuff"	"魔霭诅咒"
"modifier_abaddon_frostmourne_buff"	"魔霭诅咒"
"modifier_batrider_flaming_lasso_self"	"燃烧枷锁缴械作用"
"modifier_elder_titan_echo_stomp"	"回音重踏"
"modifier_elder_titan_ancestral_spirit_buff"	"星体巨神加成"
"modifier_elder_titan_natural_order"	"自然秩序"
"modifier_elder_titan_earth_splitter"	"裂地沟壑"
"modifier_skywrath_mage_concussive_shot_slow"	"震荡光弹"
"modifier_skywrath_mage_ancient_seal"	"上古封印"
"modifier_legion_commander_overwhelming_odds"	"压倒性优势"
"modifier_legion_commander_press_the_attack"	"强攻"
"modifier_legion_commander_duel"	"决斗"
"modifier_legion_commander_duel_damage_boost"	"决斗获胜加成攻击力"
"modifier_elder_titan_ancestral_spirit"	"星体游魂"
"modifier_skeleton_king_mortal_strike_drain_buff"	"殊死一搏"
"modifier_skeleton_king_mortal_strike_drain_debuff"	"殊死一搏"
"modifier_medusa_stone_gaze_stone"	"石化凝视"
"modifier_venomancer_poison_sting_ward"	"毒刺"
"modifier_nightstalker_darkness_blind"	"黑暗时间"
"modifier_silencer_int_steal"	"智力窃取"
"modifier_lich_frostarmor_slow"	"霜冻减速"
"modifier_buyback_gold_penalty"	"买活金钱惩罚"
